d678,mm,0.00 mm,
d679,deg,90.0 °,
d680,mm,0.00 mm,
d681,mm,0.00 mm,
d682,mm,0.00 mm,
d683,deg,90.0 °,
d684,mm,0.00 mm,
d685,mm,0.00 mm,
d686,mm,0.00 mm,
d687,deg,-90.0 °,
d688,mm,0.00 mm,
d689,mm,0.00 mm,
d690,mm,0.00 mm,
d691,deg,-90.0 °,
d692,mm,0.00 mm,
d693,mm,0.00 mm,
d694,mm,0.00 mm,
d695,deg,-90.0 °,
d696,mm,0.00 mm,
d697,mm,0.00 mm,
d698,mm,0.00 mm,
d699,deg,-90.0 °,
d700,mm,0.00 mm,
d701,mm,0.00 mm,
d702,mm,0.00 mm,
d817,deg,180.0 °,
d818,mm,5.00 mm,
d819,mm,0.00 mm,
d820,mm,4 mm,
d496,mm,2.5 mm,
d497,mm,5 mm,
d498,deg,0.0 °,
d599,mm,0.1 mm,
d499,mm,4 mm,
d500,deg,0.0 °,
d600,mm,M3_Hex_Nut_Diameter_Loose,
d602,deg,0.0 °,
d792,mm,-10 mm + M3_Hex_Nut_Height_w_Clearance,
d815,mm,ScrewTerminalDistanceToWall,
d816,mm,d815,
d821,mm,d815,
d897,mm,2 mm,
d704,mm,0.00 mm,
d705,deg,0.0 °,
d784,mm,0.00 mm,
d712,,1,
d713,mm,5 mm,
d822,mm,( Enclosure_Wall_Thickness + Lip_Clearance ) / 2,
d716,,1,
d717,,0,
d720,deg,0.0 °,
d721,deg,0.0 °,
d823,mm,Enclosure_Wall_Height,
d824,mm,Enclosure_Wall_Thickness,
d825,mm,Lip_Clearance,
d826,mm,Lip_Clearance,
d727,,1,
d728,,0,
d731,deg,0.0 °,
d732,deg,0.0 °,
d785,mm,0.00 mm,
d786,deg,0.0 °,
d643,deg,30 °,
d644,mm,0.00 mm,
d645,mm,0.00 mm,
d646,mm,0.00 mm,
d647,mm,-0.2 mm,
d648,deg,0.0 °,
d649,mm,-0.2 mm,
d650,deg,0.0 °,
d655,deg,0.0 °,
d656,mm,0.00 mm,
d657,mm,0.00 mm,
d658,mm,2.00 mm,
d875,mm,1.5 mm,
d876,mm,24.1082208142 mm,
d877,mm,5 mm,
d878,mm,5 mm,
d879,mm,19.57 mm,
d882,mm,1.5 mm,
d883,mm,5.00 mm,
d884,mm,5 mm,
d885,mm,14.65 mm,
d886,mm,52 mm,
d887,mm,38 mm,
d880,mm,-0.4 mm,
d881,deg,0.0 °,
d1228,mm,0.00 mm,
d1229,deg,0.0 °,
d1230,mm,M3_Hex_Nut_Diameter_Loose,
d1231,mm,-M3_Hex_Nut_Height_w_Clearance,
d1232,deg,0.0 °,
d1233,deg,-90.0 °,
d1234,mm,0.00 mm,
d1235,mm,0.00 mm,
d1236,mm,0.00 mm,
d1237,deg,-90.0 °,
d1238,mm,0.00 mm,
d1239,mm,0.00 mm,
d1240,mm,0.00 mm,
d1241,deg,-90.0 °,
d1242,mm,0.00 mm,
d1243,mm,0.00 mm,
d1244,mm,0.00 mm,
d1245,deg,-90.0 °,
d1246,mm,0.00 mm,
d1247,mm,0.00 mm,
d1248,mm,0.00 mm,
d1249,mm,-0.2 mm,
d1250,deg,0.0 °,
d1251,mm,-0.2 mm,
d1252,deg,0.0 °,
d740,mm,Pot_Hole,
d742,mm,Button_Hole,
d743,mm,Toggle_Hole,
d745,mm,3.00 mm,
d746,mm,3.00 mm,
d747,mm,3.00 mm,
d748,mm,3.00 mm,
